Epoch,Train_Loss,Train_Acc,Val_Acc
1,1.2785881360371907,44.53125,29.557291666666668
2,1.08384108543396,64.71354166666667,23.958333333333332
3,0.9970889886220297,69.82421875,34.114583333333336
4,0.9668158690134684,72.00520833333333,85.67708333333333
5,0.9333614508310953,73.60026041666667,84.11458333333333
6,0.9315440654754639,73.47005208333333,85.02604166666667
7,0.9064533710479736,74.34895833333333,87.109375
8,0.9261099497477213,74.38151041666667,87.5
9,0.8763426144917806,76.49739583333333,87.890625
10,0.9487226009368896,71.84244791666667,88.54166666666667
11,0.9140299161275228,76.23697916666667,89.0625
12,0.8647991816202799,76.59505208333333,89.0625
13,0.8893987337748209,76.66015625,88.15104166666667
14,0.8646544615427653,77.31119791666667,88.80208333333333
15,0.9220592180887858,74.86979166666667,89.84375
16,0.818451722462972,79.16666666666667,90.10416666666667
17,0.8465759754180908,77.60416666666667,89.453125
18,0.8348342577616373,78.125,88.671875
19,0.8604372342427572,77.21354166666667,87.109375
20,0.8926753997802734,77.9296875,86.84895833333333
21,0.8671791553497314,77.37630208333333,89.0625
22,0.847770611445109,77.05078125,88.671875
23,0.8624062538146973,78.61328125,87.890625
24,0.8026501337687174,79.26432291666667,88.671875
25,0.8671797116597494,77.99479166666667,89.58333333333333
26,0.8402427037556967,79.03645833333333,89.453125
27,0.850924571355184,78.87369791666667,89.58333333333333
28,0.866120974222819,77.86458333333333,89.84375
29,0.804915984471639,80.72916666666667,89.71354166666667
30,0.8628975550333658,79.91536458333333,90.234375
31,0.8633279800415039,78.09244791666667,90.10416666666667
32,0.8336592515309652,79.94791666666667,90.49479166666667
33,0.8424687385559082,79.8828125,89.71354166666667
34,0.7940669059753418,81.21744791666667,89.97395833333333
35,0.8164172967274984,81.60807291666667,90.625
36,0.8300458590189616,80.04557291666667,90.10416666666667
37,0.8675510088602701,78.58072916666667,90.49479166666667
38,0.7929307619730631,81.67317708333333,90.10416666666667
39,0.8683396180470785,78.80859375,91.53645833333333
40,0.8524382909138998,78.54817708333333,91.015625
41,0.8601582050323486,77.47395833333333,90.88541666666667
42,0.8694540659586588,80.37109375,91.27604166666667
43,0.8385701179504395,80.11067708333333,90.49479166666667
44,0.8582390149434408,79.52473958333333,90.625
45,0.8663444519042969,79.52473958333333,90.75520833333333
46,0.8534736633300781,79.85026041666667,91.27604166666667
47,0.8270898660024008,78.28776041666667,91.27604166666667
48,0.8452685674031576,79.55729166666667,91.40625
49,0.8172414302825928,81.28255208333333,90.49479166666667
50,0.8199995358784994,81.25,90.49479166666667
